2023-07-28T12:19:28.440400600FEED MONEY10102023-07-28T12:25:47.695040900FEED MONEY10102023-07-28T12:30:23.090505FEED MONEY55
2023-07-28T12:30:33.081375200Wonka Bar B42.352.65
2023-07-28T12:30:53.934211300Wonka Bar B41.351.30
2023-07-28T12:31:24.759158800GIVE CHANGE1.300
07/28/2023 12:40:10 FEED MONEY 10 10
07/28/2023 12:40:22 Snykkers A3 4.25 5.75
07/28/2023 12:41:18 Snykkers A3 3.25 2.50
07/28/2023 12:41:27 GIVE CHANGE 2.50 0
07/28/2023 12:43:56 PM FEED MONEY 10 10
07/28/2023 12:44:00 PM GIVE CHANGE 10 0
07/28/2023 12:44:06 PM GIVE CHANGE 0 0
07/28/2023 12:47:54 PM FEED MONEY 10.00 10.00
07/28/2023 12:48:03 PM Stackers B1 2.65 7.35
07/28/2023 12:48:07 PM GIVE CHANGE 7.35 0.00
07/28/2023 04:24:04 PM GIVE CHANGE 0.00 0.00
07/28/2023 04:26:48 PM FEED MONEY 5.00 5.00
07/28/2023 04:26:56 PM Chiclets D4 1.35 3.65
07/28/2023 04:26:58 PM GIVE CHANGE 3.65 0.00
07/28/2023 04:29:30 PM FEED MONEY 4.00 4.00
07/28/2023 04:29:33 PM GIVE CHANGE 4.00 0.00
07/28/2023 04:30:04 PM FEED MONEY 4.00 4.00
07/28/2023 04:30:09 PM GIVE CHANGE 4.00 0.00
07/28/2023 04:30:42 PM FEED MONEY 4.00 4.00
07/28/2023 04:30:43 PM GIVE CHANGE 4.00 0.00
07/28/2023 04:31:00 PM FEED MONEY 4.00 4.00
07/28/2023 04:31:01 PM GIVE CHANGE 4.00 0.00
07/28/2023 04:31:34 PM GIVE CHANGE 0.00 0.00
07/28/2023 04:33:37 PM FEED MONEY 4.00 4.00
07/28/2023 05:01:52 PM FEED MONEY 50.00 50.00
07/28/2023 05:01:59 PM 7Down C2 3.25 46.75
07/28/2023 05:02:13 PM Chiclets D4 0.35 46.40
07/28/2023 05:10:46 PM FEED MONEY 5.00 5.00
07/28/2023 05:11:14 PM GIVE CHANGE 5.00 0.00
07/28/2023 05:16:14 PM FEED MONEY 5.00 5.00
07/28/2023 05:16:20 PM FEED MONEY 5.00 10.00
07/28/2023 05:16:56 PM Stackers B1 2.65 7.35
07/28/2023 05:19:25 PM GIVE CHANGE 0.00 0.00
07/28/2023 05:21:46 PM GIVE CHANGE 0.00 0.00
07/28/2023 05:36:59 PM FEED MONEY: 10.00 10.00
07/28/2023 05:37:04 PM FEED MONEY: 1.00 11.00
07/28/2023 05:37:53 PM Chiclets D4 1.35 9.65
07/28/2023 05:38:03 PM Chiclets D4 0.35 9.30
07/28/2023 05:38:12 PM Chiclets D4 1.35 7.95
07/28/2023 05:38:16 PM Chiclets D4 0.35 7.60
07/28/2023 05:38:19 PM Chiclets D4 1.35 6.25
07/28/2023 05:39:52 PM GIVE CHANGE: 6.25 0.00
